INFO 2025-08-03 18:49:39,807 autoreload 11048 18872 Watching for file changes with StatReloader
INFO 2025-08-03 18:50:11,476 autoreload 20008 13980 Watching for file changes with StatReloader
INFO 2025-08-03 18:56:18,473 autoreload 1268 5496 Watching for file changes with StatReloader
INFO 2025-08-03 18:59:37,080 autoreload 9696 6844 Watching for file changes with StatReloader
INFO 2025-08-03 19:15:39,829 autoreload 8044 9540 Watching for file changes with StatReloader
INFO 2025-08-03 19:18:58,879 autoreload 10324 17420 Watching for file changes with StatReloader
INFO 2025-08-03 19:19:06,281 basehttp 10324 8720 "OPTIONS /api/auth/current-user/ HTTP/1.1" 200 0
INFO 2025-08-03 19:19:06,291 basehttp 10324 8720 "OPTIONS /api/drivers/ HTTP/1.1" 200 0
INFO 2025-08-03 19:19:06,292 basehttp 10324 11092 "OPTIONS /api/auth/current-user/ HTTP/1.1" 200 0
INFO 2025-08-03 19:19:06,296 basehttp 10324 8720 "OPTIONS /api/drivers/ HTTP/1.1" 200 0
WARNING 2025-08-03 19:19:06,569 log 10324 11092 Unauthorized: /api/auth/current-user/
WARNING 2025-08-03 19:19:06,569 log 10324 8720 Unauthorized: /api/drivers/
WARNING 2025-08-03 19:19:06,574 basehttp 10324 11092 "GET /api/auth/current-user/ HTTP/1.1" 401 172
WARNING 2025-08-03 19:19:06,583 basehttp 10324 8720 "GET /api/drivers/ HTTP/1.1" 401 172
WARNING 2025-08-03 19:19:06,598 log 10324 8720 Unauthorized: /api/auth/current-user/
WARNING 2025-08-03 19:19:06,604 log 10324 6256 Unauthorized: /api/drivers/
INFO 2025-08-03 19:19:06,608 basehttp 10324 11092 "OPTIONS /api/auth/token/refresh/ HTTP/1.1" 200 0
WARNING 2025-08-03 19:19:06,617 basehttp 10324 8720 "GET /api/auth/current-user/ HTTP/1.1" 401 172
WARNING 2025-08-03 19:19:06,631 basehttp 10324 6256 "GET /api/drivers/ HTTP/1.1" 401 172
WARNING 2025-08-03 19:19:06,644 log 10324 11092 Unauthorized: /api/auth/token/refresh/
WARNING 2025-08-03 19:19:06,653 log 10324 8720 Unauthorized: /api/auth/token/refresh/
WARNING 2025-08-03 19:19:06,659 basehttp 10324 11092 "POST /api/auth/token/refresh/ HTTP/1.1" 401 54
WARNING 2025-08-03 19:19:06,663 basehttp 10324 8720 "POST /api/auth/token/refresh/ HTTP/1.1" 401 54
INFO 2025-08-03 19:19:07,522 basehttp 10324 8720 "OPTIONS /api/drivers/ HTTP/1.1" 200 0
INFO 2025-08-03 19:19:07,524 basehttp 10324 11092 "OPTIONS /api/drivers/ HTTP/1.1" 200 0
WARNING 2025-08-03 19:19:07,555 log 10324 11092 Unauthorized: /api/drivers/
WARNING 2025-08-03 19:19:07,558 basehttp 10324 11092 "GET /api/drivers/ HTTP/1.1" 401 58
WARNING 2025-08-03 19:19:07,568 log 10324 11092 Unauthorized: /api/drivers/
WARNING 2025-08-03 19:19:07,580 basehttp 10324 11092 "GET /api/drivers/ HTTP/1.1" 401 58
INFO 2025-08-03 19:19:16,679 basehttp 10324 11092 "OPTIONS /api/auth/admin-login/ HTTP/1.1" 200 0
WARNING 2025-08-03 19:19:20,112 log 10324 11092 Unauthorized: /api/auth/admin-login/
WARNING 2025-08-03 19:19:20,113 basehttp 10324 11092 "POST /api/auth/admin-login/ HTTP/1.1" 401 31
INFO 2025-08-03 19:19:32,784 basehttp 10324 11092 "OPTIONS /api/auth/admin-login/ HTTP/1.1" 200 0
INFO 2025-08-03 19:19:34,918 basehttp 10324 11092 "POST /api/auth/admin-login/ HTTP/1.1" 200 644
INFO 2025-08-03 19:19:35,185 basehttp 10324 11092 "OPTIONS /api/alerts/ HTTP/1.1" 200 0
